username,tanggal,review,Label
Vutra Plaju,12/03/2023,Asik apa lgi naik jam 5 subuh dpt sunrise,1
Hobbyist Keepers,12/03/2023,SAVANA GUNUNG BROMO TIDAK PERNAH MENGECEWAKAN HEHE,1
AGHA MOTOR,12/03/2023,Kurang beruntung pass hujan deras,0
MKurnia,12/03/2023,"Gunung Bromo terkenal sebagai objek wisata utama di Jawa Timur. Sebagai sebuah objek wisata, Bromo menjadi menarik karena statusnya sebagai gunung berapi yang masih aktif. Gunung Bromo termasuk dalam kawasan Taman Nasional Bromo Tengger …",1
Tiar Muslim,12/03/2023,"Pertama kali ke bromo bareng temen make motor berempat. Pemandangannya indah banget, apalagi pas liat matahari terbitnya beuh nagih. Kalau mau kesini lebih baik otw jam 3 an agar sampai ketempatnya pas shubuh. Anda akan disuguhkan …",1
busri kabul,12/03/2023,Padahal sering ke Bromo.tapi gk ada bosen² ny@ 👍🤣👍 …,1
ahyar munif,12/03/2023,Ya view-nya bagus,1
Ronald Rao,12/03/2023,Dinginnya mmg bener2 nusuk...😂 …,0
Dexter Dexter,12/03/2023,"Klw kalian ada niat ke bromo pakelah mbl jeep yg sdh disediakan jangan pke mobil pribadi, Bahaya",0
Winarto Minthuk,12/03/2023,Pas buat treveling,1
Bq Shree,12/03/2023,Pokoknya gk rugi klo liburan ke sini 👍 …,1
Vanny,12/03/2023,Semua lelah terbayarkan ketika melihat sunrise dari puncak Bromo,1
Ika Febriana Syafitri,12/03/2023,Bagus,1
YohanSyah Martin,12/03/2023,"terlalu banyak pemalak, ini tempat wisata atau tempat sarang preman? sebelum pos pembelian tiket sering berhentikan dan di mintai uang oleh warga yang mengaku uang tersebut untuk akses lewat jalan tersebut. …",0
Eman Sulaeman,12/03/2023,alam Tadabur. Maha Kuasa dengan segala ciptaan-Nya,1
Arif Virgo,12/03/2023,Terlalu indah untuk dijelaskan dengan kata2 intinya isthe best Bromo,1
Sensei hasan basri,12/03/2023,"Masyallah subhanallah sungguh indah ciptaan Mu Tuhan, puji Tuhan.

Experience saat di Bromo ini sangat mengesankan banget 21 Januari 2023 bersama …",1
Willy Frederik Tambayong,12/03/2023,mengagumkan dan gak bosen-bosen meski udah perna kesini,1
Suher ojek,12/03/2023,2017 yang lalu semoga tahun ini bisa kesini lagi,1
Umaha Maha,12/03/2023,"gunung bromo nya bagus
tapi sayang, penjaga loket masuk poss yg lewat dari tumpang minta uang lebih per orang 7500x10 orang sdh 75rb …",1
Huwaida Jasmine,12/03/2023,"Alhamdulillah kesini sekitaran desember thn 2019 an pas nataru, cuacanya lagi ueennaaak polll, anginnya ga dingin dingin bgt sekitaran 14-16 derajat aja, oiya klo mau ke sini usahain lagi vit ya, perut juga harus bisa kerja sama, soalnya di …",1
Harun Merdeka,12/03/2023,Memuaskan,1
Danur Bendo,12/03/2023,Pengalaman yg sngat indah bisa berkunjung ke sini... Sungguh besar kuasa Allah SWT,1
andre muharam,12/03/2023,Emng paling enak untuk healing dikit²,1
firda firgi,12/03/2023,Bagus banget guys all about Bromo gabakal ngecewain indah bgt dilihat dr sisi manapun,1
pastell holik,12/03/2023,Pengalaman berangkat dari rumah jam 12 malam sampai puncak bersamaan dengan matahari terbit dan bisa bersantai disana,1
maskhan jane,12/03/2023,Cukup menyenang wisata di bromo,1
mohmmad junaedi,12/03/2023,Seruuu,1
anis nurhayati,12/03/2023,"Bromo, gunung aktif di jawa Timur. Wow wajib mampir ke sini buat liat sunrise. Subhanalloh banget. Naik jeep seru sih, foto2 sama orang terdekat dan menikmati minuman dan makanan hangat. Rate harga open trip 250-300k, naik kuda 160k",1
L Rachma,12/03/2023,"Pemandangan yang indah , maha besar Allah atas segala penciptaan nya",1
Aam Amalia,12/03/2023,Berkesan banget ke bromo bersama teman2. Saya kesana Januari 2019 ( sblm covid-19),1
Fajar Raflianto,10/02/2023,Tempat yang harus banget dikunjungi,1
Rendika putra,10/02/2023,"Kerennn,lebih bagus di liat langsung daripada lewat tv",1
Ciaa Alexa,10/02/2023,"Wisata Alam yang keren.
Jam 01.40 dijemput ma travel bromo.untuk lihat sun rise. Naik puncak Naik 1.000 tangga. Setiap masuk toilet Rp 5.000 saran bawa uang kecil banyak. …",1
Hary Hong,10/02/2023,"pemandangan yang luar biasa, terutama sunrise nya, namun jalannya banyak belok”, buat yg mudah mabuk, sebaiknya bawa obat mabuk. untuk suhu udaranya jg sangat dingin, saran bawa jaket yg tebal, sarung tangan, dan topi. terakhir saya ke sana suhu sekitar 12-13°C.",1
Hamis daud,10/02/2023,"Mkasih bos infonya, kpn2 kita jumpa disana. 👍🏿👍🏿👍🏿👍🏿👍🏿 …",1
Khamim Hamzah,10/02/2023,"Seru,.... untuk perjalanan melelahkan terbayar dengan keindahan.",1
Nur Nisa,10/02/2023,Satu²nya tempat wisata yg sangat bagus dijawatimur,1
Umainah Abdat,10/02/2023,"Pengalaman yg seru pergi ke bromo. Nginep di hotel bromo permai, nyewa jeep dri situ, 600rb. Tidak terikat waktu, jalan dri hotel pakai jeep, balik ke hotel pun pakai jeep jg. Di bromo pada 5 januari. Cuaca nya sangat dingin. 13 derajat …",1
Bharata Yudha,10/02/2023,keindahan alam yang tidak bisa di ungkapkan dan tidak perlu untuk di ungkapkan < karena hanya Mata memandang & rasa Bersukur yang bisa Menggambarkanya .,1
Ali Ahmad,10/02/2023,Udara sejuk kopi sepesial,1
Lik Parjo,10/02/2023,bagus,1
Setiono Mamik,10/02/2023,Tempat yang wajib dikunjungi jika je Jawa Timur,1
clairine loekito,10/02/2023,"Bagus viewnya, bs lihat sunrise kalau beruntung",1
Muhammad arwani,10/02/2023,Subhanallah.... semoga Allah suci …,1
srzeein channel,10/02/2023,banyak oknum suka narik tarif ga wajar ☺️,0
Syahrizal Hasan,10/02/2023,Melihat kebesaran dan ke Agungan Allah swt. ..Ust.Arsyad.  Ust.Ridho. H.Muhammad Gozali Iskandar  . H.Syahrijal Hasan.  Ust.Muhammad Arwani.   Medan  Madani Markaz,1
ike krisna,10/02/2023,Keren,1
Guy Dangla,10/02/2023,Tempat yang harus dikunjungi jika Anda berada …,1
Amel Pro,10/02/2023,Kereeeennnn,1
Uncle Din,10/02/2023,"Males duit mulu, berasa di palak dirumah sendiri. Lagipula Tuhan yang menciptakan tapi dijadikan ladang bisnis oleh para oknum 👎 …",0
Andre Fauzan,10/02/2023,Sayang pas datang kabut lagi tebel,0
oiya broo,10/02/2023,bagus,1
Adam Mathori,10/02/2023,Indah,1
fitrah ajah,10/02/2023,"Enak banged kesana musim Ujan
Ga becek dan ga berdebu 👍👍 …",1
Hamdan Maher,10/02/2023,Asyik indah bnget menacubkan,1
Eva Nianti,10/02/2023,Mempesona,1
Novi Lekwandi,10/02/2023,"Ke bromo sebaiknya jangan pas musim hujan, banyak view yg nggak bisa dinikmati : sunrise, kawah, langit biru dst",0
Isti Qomah,10/02/2023,Baguss sekalii masyaallah,1
Abdurrohman Rifai,10/02/2023,"Saya kesini pada tanggal 23/12/22 untuk tempatnya bagus tetapi masih ada pemilik kuda yang arrogant dan seenaknya sendiri.
Saran saya ketika berkunjung kesini diwaktu musim panas agar terlihat indahnya ciptaan sang maha kuasa",1
Ridho Faktur Rohman,10/02/2023,"pertama smga bisa ksni lagi
Jauh"" terbayar sudah dengan ke indahan bromo",1
ate furian,10/02/2023,Salah satu Gunung terbaik untuk menyaksikan Matahari terbit.,1
صالح النملة,10/02/2023,Puji Tuhan,1
BUFF TRAVELER,10/02/2023,"Salah satu pariwisata unggulan, di Jawa Timur bahkan Indonesia, pengunjung lokal dan mancanegara ikut meramaikan, pemandangan beautiful mantul domm masyaallah",1
arief kurniawan,10/02/2023,"Pengelolalnya kurang profesional, padahal tempat begitu indah",0
Muhammad Fahmi,10/02/2023,"Wisata bromo adalah tempat yang sangat bagus nan elok di kunjungi karna sangat indah dan suasananya yang dingin yang mungkin belum ada tempat yang seperti tempat ini, sangat rekomendasi bagi yang ingin menikmati keindahan alam😅🙏 …",1
Momy Brian,10/02/2023,Gunung terkeren,1
Amzar_ Sakh,10/02/2023,"Healing ke bromo naik jeep harga terjangkau tempat seperti kita berada di surga dunia, kata kata hanya pemanis. Tapi kamu manis seperti gula. Just kidding
Nikmati suasana alam yang subhanallah banget di bromo",1
Khalila Malika,10/02/2023,"Waw tempatnya, seru banget nyaman juga fasilitasnya banyak dan tersedia selalu, dinginn tapi menyenangkan, banyak tempat spot foto yg menarik suka sekali sama wisata yang satu ini apalagi saat sunset nyw itu juga baguss bangett",1
Kang Danny Creator,10/02/2023,Tempat yang keren,1
Chandra Kurniawan,10/02/2023,"Finally bisa ramean kesini bareng temen-temen, seru banget trip kemarin! Next time semoga bisa kesini lagi",1
Nirkuning,10/02/2023,"Dikirimin foto dan video sama teman, berharap suatu saat nanti bisa kesana bareng keluarga ♥️🎉 …",1
ADHAN BUGAWOH,10/02/2023,"Kecewa sama jasa sewa kudanya saya dapat perlakuan body shaming, mulai dari mau naik sampai diperjalanan pun hampir semua tukang kuda mengejek dengan bahasa2 lokal atau bahasa2 istilah, sungguh jadi pengalaman tidak menyenangkan 👎, yang …",0
Uswatun Hasanah,11/01/2023,"Indah bngt si emang pemandangan di bromo, tp jurangnya wow dlm dlm bngt",1
Dono Pri,11/01/2023,"Bagus dan unik, ada hamparan pasir dan di atasnya gunung kawah Bromo dan gunung batok. Ada gunung Penanjakan di sebelahnya",1
Edy Purnomo,11/01/2023,cantik bgt,1
Gabriele Nonpenso,11/01/2023,"Pengalaman luar biasa. Saya sangat merekomendasikan pakaian ala Cortina untuk Natal, karena dinginnya menunggu fajar benar-benar menggigit. Tapi, percayalah, itu adalah salah satu pengalaman yang tidak bisa dilewat …",1
William Juan,11/01/2023,"Gunung yang sangat bagus, begitu naik ke atas awalnya agak sesak dan kedinginan tapi setelah beberapa menit nafas rasanya lancar banget dan agak sedikit hangat",1
Aziz Shidqul,11/01/2023,"Jalanannya ekstrem. Harap hati hati, terutama untuk sepeda motor matic",0
Susi Susilawati,11/01/2023,Jd pengen euy main ke gunung bromo,1
OsteoFisius,11/01/2023,Pemandangan yang indah. 100% dire …,1
Anik Tarwiyah,11/01/2023,"Pertama kesini 2016, turing motoran ber20 tuban bromo. Alhamdulillah. Allahu Akbar. Subhanah 🥺😭 …",1
Linka Style,11/01/2023,"Sy pikir ga bakal bisa lihat indahnya puncak gunung karna nafas sy pendek saat dijalan tanjakan, ternyata ini terwujud karna Bromo bisa di capai menggunakan kendaraan jd dipermudah akses jalan yg bagus indah bgt pokoknya siap2 bawa jaket tebal klo kesni...",1
Endang Suminarni Narni,11/01/2023,Keindahan alam yang tiada tara.,1
AhNan,11/01/2023,Sangat memuaskan dengan paket wisata yang kami gunakan,1
Redi Cahyadi,11/01/2023,"Area Bromo nih.
Asyiik berswafoto.
Mantaffff …",1
rindu listya,11/01/2023,"Kalo ke sini mending via agen travel tour lebih murah dibanding langsung datang ke lokasi, nego harga nya susah dan smakin mahal.",1
Maharanni Rahmadinni,11/01/2023,Akhirnya bisa ke bromo jg bareng temen-temen. Seruuu banget apalagi naik ke kawah bromo.. Walopun ga tinggi banget. Tapi lumayan ya buat yang ga pernah naik gunung. Hihi …,1
doktor kaca,11/01/2023,Tempat wisata yang di desain supaya kita keluar uang sebanyak banyaknya.sekali kesana nggak pingin lagi.,0
Muhammad Fendi,11/01/2023,"Info/sewa jeep dan homestay bromo Tengger Semeru jalur malang view lebih bagus.
Hub:085706902919/082314571337",1
Juni Ali,11/01/2023,"Masya Allah, indah sekali ciptaan-Mu.",1
Rhylsi,11/01/2023,"beli tiketnya online yaa nanti pesan lewat hp buka link dan isi data diri seperti dan juga pembayarannya secara online transfer begitu kemarin saya berdua kena 63.000 .. cuman mau kaish tau dingin nya dingin polll, malang batu kalah …",1
Fabian N.,11/01/2023,Indah dan sangat mengesankan. Pastinya menjadi sorotan dari setiap perjalanan  …,1
Faried Rasyidy Ilyas,11/01/2023,"Subhanallah,,,, Tidak ada yang indah di dunia ini selain ciptaan ALLAH SWT.
Meskipun sdh berkali2 berkunjung k sini tp masih saja terasa ketagihan melihat ciptaanNya 👍👍👍👍👍 …",1
ArtDhan Saksono,11/01/2023,"Sayangnya aku takut ketinggihan...
Masya Alloh indahnya...",0
Pemuda Madinah,11/01/2023,Suasana enak banget,1
Eka novita,11/01/2023,sangat indah tmpatx dan dingin bgt...sampai ngk ingin plng klo lg sama ayang,1
alipgumehgumirah alip,11/01/2023,Gunung bromo sih indah kita juga bisa lihat awan secara dekat jadi ku beri bintang4 aja ya karena ada kekurangan nya,1
Agus Supriono,11/01/2023,"Walaupun capek naik tangga ke kawah gunung Bromo , nyampe di bibir kawah capeknya lsng hilang melihat indahnya pemandangan alam di sekitarnya",1
Muhammad sauqi Mubarok,11/01/2023,Bagus,1
Donny Yudha,11/01/2023,Wajib dikunjunginnn 👍👍👍 …,1
teguh haryadi,11/01/2023,Ternyata kesini lebih murah jalan sendiri daripada ikut paket wisata hihi. Klo sudah di terminal probolinggo budget 300an cukup untuk nginap semalam + ke lokasi bromonya,0
Panangkas 2,11/01/2023,Gunung Bromo luar biasa perjalananya menuju puncak yang ruas jalanya kecil kiri kanan jurang bikin gemetaran bawa Trail pertama kali disana,1
Berlan Tour & Transport Jogja,11/01/2023,"Gunung dg view paling indah di java, klw mau Explore persiapkan fisik, karena suhu dititik terendah bisa 0°",1
Andi Muhammad Akbar,11/01/2023,"Pemandangan yang indah, sangat panas.",1
Ake Widyastomo,11/01/2023,"Kunjungan anda ke kawasan Bromo Tengger Semeru belum lengkap jika belum menyaksikan keindahannya dari puncak kawah Bromo, pendakian memakan waktu sekitar 20 menit melalui rute berbatu terjal dengan panjang jalur kurang lebih 1.5 kilometer, …",1
Hidayatul Muttaqin,11/01/2023,"Datang ke bromo adalah impianku, kl ada kesempatan aku masih mau datang utk yg ke 2 kalinya. Ciptaan Allah SWT begitu indah",1
abdul nadjib,11/01/2023,Gunung Bromo sungguh indah ...sunset di bukit KINGKONG,1
Juan Xaverian,11/01/2023,Disarankan membeli tiket atau karcis jauh-jauh hari secara online..karena saat offline biasanya biaya yang diminta lebih besar dari harga tiket atau karcis biasanya.,1
Asni Yati,11/01/2023,Lihat sunset.. sedia jaket sarung tangan dan syal yaaa.. karena dingiin sekaliiii...,1
Sugheta Vanhouten,11/01/2023,"Setelah Di Padang Pasir Gerimis Melanda, Trabas Lanjut Ke Puncak Batok Sebelum Ke Bromo Namun Perjalanan Lanjut 45mnt Ke Pnck Batok",1
Gerry,11/01/2023,"First time dateng kegunung bromo, takjub saya melihat pemandangan yang begitu indah, jadi pengen lagi",1
ToKE,11/01/2023,Bagus pemandangannya,1
יצחק בוקסר,11/01/2023,"Pemandangan menakjubkan, …",1
Nia Dewi Nursafitri,11/01/2023,"Pemandangannya alam nya bagus banget, ❤️",1
Adnan Malay Adnan,11/01/2023,"Masya Allah, luar biasa..",1
FERI F,11/01/2023,"Keren banget banget indahnya ciptaan Allah,, Hamil 8 bln naik jeep n orgnya baik bgt pak. Diah dijamin TOP.
Perjalanan yg terlalu manis untuk dilupakan",1
Agung Setyawan,11/01/2023,Mantappp bgt view-nya...jeepnya mantappp...ademmm brrrrr,1
Muhamad Rizqi Habibbullah,11/01/2023,"Banyak pilihan wisata alamnya, keren",1
fathul25,12/12/2022,"Tempatnya bagus, dan pengen kesana lgi",1
prima kurniawan,12/12/2022,Prewed di bromo samgat bagus,1
Osep Miftahudin,12/12/2022,menjernihkan pikiran menjernihkan harapa …,1
Ahmad Fajar,12/12/2022,Semoga bisa tour kesana sama teman-teman sekolah ya Allah🤲🙏 …,1
Avif Pathur Hidayat,12/12/2022,Tempat nya dingin banget,0
Wirzonmuhammad Wirzon,12/12/2022,Mantap.....,1
Sholah Elik,12/12/2022,Mantap pol rek,1
ilham z,12/12/2022,"Adem bangets suasana gunung yg berbeda.
Naek kuda 250rb nego",1
Ahmad Yusuf,12/12/2022,"Untuk menikmati Sunrise yang sangat menàkjubkan.

Setelah pagi menikmati pasir putih dan kawah Bromo.
Mantap",1
Radian Ade Firmansyah,12/12/2022,"Kesini sudah beberapa kali, dan selalu menarik dan ngangenin untuk datang.

Foto ini kesini dengan Gowes dari pintu masuk sampai lokasi Bromo. Bahkan kita …",1
alex giovi,12/12/2022,"indah dan menggugah, berkunjung melihat terbitnya fajar",1
Parikesit Prasty S,12/12/2022,"Besok kesini lur, doakan semoga lancar dan selamat",1
agus danang sriyanto,12/12/2022,"Sungguh pengalaman yang luar biasa, kali pertama melihat Kawah Gunung Bromo serta gemuruhnya lava vulkanik..Sungguh indah ciptaan-Mu Tuhan.",1
Hairil anam,12/12/2022,Mantap dah...,1
Desti Megasari,12/12/2022,Kerennnn seru sih waktu kesini pake trip dari lepas suntuk btw membantu banget terimakasih bapak driver yang double job jadi photografer 🥰 …,1
Alvin Alvin,12/12/2022,Bagus banget,1
zee neverz,12/12/2022,keindahan yg benar benar indah..allhamdulillah bisa ke bromo juga..terima kasih bromo,1
Labiba Alfiyah,12/12/2022,"Suka bgt sama yang namanya pegunungan. Btw aku pecinta alam ya guys ya.. hehe.
Apalagi di bromo gatau udah berapa kali kesini karna suka bgt sama suasananya. Karena dari rumah lokasi terjangkau jadi sering kesini. Buat nenangin hati juga saya rekomendasikan kesini",1
putri marlinda,12/12/2022,"Pemandangan terindah yang pernah mata saya tatap langsung, kebetulan perginya sendirian banget dan gak nyangka kl ke Bromo justru malah jd liburan terhappy dibanding liburan2 lainnya bersama kerabat/keluarga",1
PIPIN SUPINAH,12/12/2022,Bagus sekali,1
mikyong Han,12/12/2022,"Abu vulkanik diterbangkan oleh turis yang turun, dan menete …",0
Tabita Edenia,12/12/2022,Tempat yang bagus untuk berwisata bersama sahabat 🥰 …,1
Warso Wrs,12/12/2022,Mantap luar biasa. Ciptaan Allah menjulang tinggi berupa gunung.,1
A nn,12/12/2022,"Kesana sebenernya iseng aja gada persiapan sama sekali, gasempet foto banyak krna hp lowbat tadinya buat mantengin maps😭, nanti ksana lagi kalo udah buka inshaAllah. …",0
millawdh,12/12/2022,"Seperti lukisan karena indah bgttttttttt
Berangkat via tumpang, nginep di khalifa homestay plus minta bapaknya carikan jeep buat trip 1hari, fee jeep 1.500k …",1
M4S ARDY_OMPONG,12/12/2022,"Tempat yang luar biasa indahnya,kaya indahnya panorama alam yang sangat baik.",1
vita yuanita,12/12/2022,Jalan²,1
Agus Javaeast,12/12/2022,Tempat yang layak untuk dikunjungi sangat indah,1
Muhammad Fadhil,12/12/2022,Bagus bet gilaa woyyyy,1
Ika Miftakhul Jannah,12/12/2022,"salah satu gunung ter indah di indonesia,tp untuk tiketnya harus bayar 2x, padahal yg pertama tiket untuk ke seruni point,kalau kita cuma ke gn bromo aja kan jd rugi",1
esti dwii,12/12/2022,"Tempat paling oke buat yang pingin liburan. Pemandangan yang sangat indah dan sangat tidak mengecewakan. Untuk biaya masuknya juga tidak terlalu mahal, sebanding dengan keindahan yang kita dapat",1
milo,12/12/2022,Waw,1
Risa Levia,12/12/2022,Bener-bener bagus banget pemandangannya,1
GopanSka,12/12/2022,Tempat wisata yg rekomend untuk menyegarkan mata dan pikiran.. cocok untuk keluarga.. saran kalau mau kebromo waktu musim panas saja sekitar mei-agustus biar pemandangan tidak tertutup kabut.. kalau mau ke padang pasir disarankan sewa jeep setempat/ada penyewaan motor trill di sana..👍👍 …,1
shofie yah,12/12/2022,"Liat sunrise di Penanjakan,
Cantik sekali. Dengan hawa dingin 16 😁😁
Pengen kembali ke sana …",1
garuda wisata,12/12/2022,Spot paling menakjubkan pulau jawa,1
Sigit Elyi,12/12/2022,Thun 2017 lalu keinget pake mobill keplater di pasir🤣🤣🤣 …,0
Sa'id,12/12/2022,Bromo keren,1
dwi Agung,12/12/2022,Sebuah keindahan ciptaan Allah Yang Maha Kuasa,1
ahmad mulyanto,12/12/2022,Destinasi wisata yang sangat indah dan menyenangkan,1
Dárcio Santana,12/12/2022,Tempat yang bagus untuk bertemu salah satu kekuatan alam terbesar!!! Fantastis!!,1
Tayu Andari,12/12/2022,Minta rekomendasinya dong .. trip untuk ke bromo no wa dan instagramnya,1
